experiment,pulse_no, ,on time,2 min too early,1 min too early,1 min too late,2 min too late,previous_pulse_length
min3_mean20,61,,0.6053611317944899,0.06329113924050633,0.05956813104988831,0.12509307520476545,0.01944652206432311,18.0
min3_mean30,91,,0.718,,0.0035,0.23,0.007,39.0
min3_mean30,92,,0.778,0.012,0.0145,0.162,0.004,35.0
min3_mean30,93,,0.007,0.002,0.001,0.024,0.005,7.0
min3_mean30,94,,0.3595,0.0005,0.026,0.3545,0.0485,16.0
min3_mean30,95,,0.6035,0.0135,0.005,0.2935,0.024,24.0
min3_mean30,96,,0.895,0.0115,0.0205,0.046,0.0025,54.0
min3_mean30,97,,0.907,0.002,0.025,0.0495,0.0,52.0
min3_mean30,98,,0.8675,0.008,0.022,0.0835,0.0015,25.0
min3_mean30,99,,0.9295,0.0015,0.0175,0.031,0.0,54.0
min3_mean30,100,,0.819,0.002,0.0195,0.093,0.008,13.0
min3_mean30,101,,0.7525,0.0035,0.0235,0.1005,0.006,10.0
min3_mean30,102,,0.777,0.0065,0.0295,0.134,0.0085,15.0
min3_mean30,103,,0.921,0.003,0.028,0.0325,0.0015,29.0
min3_mean30,104,,0.8985,0.004,0.0405,0.0165,0.0015,31.0
min3_mean30,105,,0.797,0.0015,0.0455,0.0855,0.009,13.0
min3_mean30,106,,0.843,0.002,0.0265,0.0815,0.007,12.0
min3_mean30,107,,0.8355,0.019,0.023,0.103,0.0065,18.0
min3_mean30,108,,0.8975,0.0025,0.0385,0.0215,0.0005,37.0
min3_mean30,109,,0.9045,0.001,0.0405,0.024,0.0015,48.0
min3_mean30,110,,0.828,0.0175,0.0435,0.0855,0.005,16.0
min3_mean30,111,,0.7605,0.0,0.014,0.086,0.0005,10.0
min3_mean30,112,,0.873,0.0075,0.0525,0.0275,0.0005,47.0
min3_mean30,113,,0.879,0.0035,0.062,0.0125,0.001,41.0
min3_mean30,114,,0.2465,0.0,0.0045,0.0865,0.0005,8.0
min3_mean30,115,,0.883,0.004,0.044,0.011,0.0,38.0
min3_mean30,116,,0.848,0.0055,0.0865,0.0065,0.0,69.0
min3_mean30,117,,0.8235,0.007,0.0795,0.0095,0.0015,36.0
min3_mean30,118,,0.833,0.019,0.067,0.023,0.004,23.0
min3_mean30,119,,0.8,0.053,0.0655,0.0525,0.004,18.0
min3_mean30,120,,0.804,0.003,0.122,0.0095,0.0015,110.0
min3_mean30,121,,0.0,0.0015,0.0,0.0005,0.003,4.0
min3_mean30,122,,0.7485,0.015,0.123,0.0135,0.0,30.0
min3_mean30,123,,0.8225,0.0,0.021,0.0485,0.0005,11.0
min3_mean30,124,,0.7655,0.0115,0.1425,0.014,0.0,57.0
min3_mean30,125,,0.7595,0.0055,0.141,0.0105,0.0045,67.0
min3_mean30,126,,0.7595,0.007,0.1225,0.0175,0.004,38.0
min3_mean30,127,,0.769,0.014,0.144,0.003,0.0025,63.0
min3_mean30,128,,0.771,0.0115,0.1295,0.01,0.0005,51.0
min3_mean30,129,,0.038,0.001,0.0055,0.022,0.0,7.0
min3_mean30,130,,0.7655,0.013,0.121,0.015,0.0,147.0
min3_mean40,1,,0.8895083628991384,,0.011235955056179775,0.0456158134820071,0.0020273694880892043,41.0
min3_mean40,2,,0.866,0.009,0.011,0.089,0.0035,131.0
min3_mean40,3,,0.8065,0.006,0.0145,0.122,0.0035,31.0
min3_mean40,4,,0.885,0.003,0.014,0.066,0.004,34.0
min3_mean40,5,,0.929,0.0015,0.021,0.0155,0.0015,91.0
min3_mean40,6,,0.926,0.0,0.025,0.0115,0.0,154.0
min3_mean40,7,,0.922,0.002,0.021,0.0075,0.0,41.0
min3_mean40,8,,0.0075,0.002,0.0015,0.011,0.004,7.0
min3_mean40,9,,0.907,0.007,0.038,0.0025,0.007,63.0
min3_mean40,10,,0.9135,0.001,0.0445,0.0075,0.0,97.0
min3_mean40,11,,0.89,0.0,0.0565,0.002,0.0,72.0
min3_mean40,12,,0.8755,0.0005,0.0455,0.013,0.0065,30.0
min3_mean40,13,,0.575,0.0045,0.002,0.309,0.0465,17.0
min3_mean40,14,,0.8885,0.0,0.046,0.006,0.0055,133.0
min3_mean40,15,,0.892,0.001,0.0365,0.017,0.0025,40.0
min3_mean40,16,,0.909,0.0045,0.0255,0.0115,0.0,56.0
min3_mean40,17,,0.009,0.0,0.0005,0.0075,0.0025,8.0
min3_mean40,18,,0.864,0.006,0.0355,0.019,0.0005,31.0
min3_mean40,19,,0.8665,0.003,0.0315,0.021,0.003,40.0
min3_mean40,20,,0.8685,0.0035,0.033,0.024,0.0,40.0
min3_mean40,21,,0.8695,0.0,0.039,0.014,0.003,56.0
min3_mean40,22,,0.8575,0.0055,0.026,0.0285,0.006,40.0
min3_mean40,23,,0.8565,0.006,0.031,0.0315,0.0025,43.0
min3_mean40,24,,0.686,0.008,0.029,0.1745,0.01354062186559679,25.0
min3_mean40,25,,0.8560450819672131,0.0056352459016393444,0.02920081967213115,0.03483606557377049,0.0025614754098360654,48.0
min3_mean20_new,1,,0.7044897959183674,,0.04816326530612245,0.14857142857142858,0.012244897959183673,28.0
min3_mean20_new,2,,0.5363349131121643,0.008688783570300158,0.07187993680884676,0.14375987361769352,0.016587677725118485,13.0
